p,	e,	result
2,	1,	x^34 + x^33 + x^4 + x + 1	3 * 43691 * 131071
2,	2,	x^68 + x^67 + x^21 + x + 1	3 * 5 * 137 * 953 * 26317 * 43691 * 131071
2,	3,	x^102 + x^101 + x^54 + x^2 + 1	3^2 * 7 * 103 * 307 * 2143 * 2857 * 6529 * 11119 * 43691 * 131071
2,	4,	x^136 + x^135 + x^45 + x + 1	3 * 5 * 17^2 * 137 * 953 * 26317 * 43691 * 131071 * 354689 * 2879347902817
2,	5,	x^170 + x^169 + x^9 + x + 1	3 * 11 * 31 * 43691 * 131071 * 9520972806333758431 * 26831423036065352611
2,	6,	x^204 + x^203 + x^179 + x^4 + 1	3^2 * 5 * 7 * 13 * 103 * 137 * 307 * 409 * 953 * 2143 * 2857 * 3061 * 6529 * 11119 * 13669 * 26317 * 43691 * 131071 * 1326700741
2,	7,	True	3 * 43 * 127 * 239 * 20231 * 43691 * 131071 * 823679683 * 62983048367 * 131105292137 * 143162553165560959297
2,	8,	Regular
2,	9,	True	
2,	10,	True	
2,	11,	True	
2,	12,	True	
2,	13,	True	
2,	14,	True	
3,	1,	x^34 + x^33 + x^31 + 2	2^3 * 103 * 307 * 1021 * 1871 * 34511
3,	2,	x^68 + x^67 + x^51 + 2	2^4 * 5 * 103 * 307 * 1021 * 1871 * 34511 * 956353 * 1743831169
3,	3,	x^102 + x^101 + x^15 + 2	2^3 * 7 * 13 * 103 * 307 * 613 * 1021 * 1871 * 12853 * 30091 * 34511 * 129159847 * 99810171997
3,	4,	True	2^5 * 5 * 41 * 103 * 137 * 307 * 1021 * 1871 * 34511 * 956353 * 1743831169 * 6458150122561 * 3833564416504313
3,	5,	True	2^3 * 11^2 * 61 * 103 * 307 * 1021 * 1531 * 1871 * 34511 * 224401 * 2663568851051 * 862970652262943171 * 13271362257832586268931
3,	6,	True	
3,	7,	True	
3,	8,	True	
3,	9,	True	
5,	1,	x^34 + x^33 + x^2 + 3	2^3 * 3 * 409 * 3061 * 41540861 * 466344409
5,	2,	x^68 + x^67 + x^13 + 3	2^4 * 3 * 13 * 409 * 1973 * 3061 * 20129 * 45289 * 41540861 * 466344409 * 12447002677
5,	3,	True	2^3 * 3^2 * 7 * 31 * 103 * 409 * 3061 * 8467 * 90271 * 317731 * 528667 * 41540861 * 466344409 * 60119016343 * 654652168021
5,	4,	True	
5,	5,	True	
5,	6,	True	
7,	1,	x^34 + x^33 + 3	2^4 * 3 * 14009 * 2767631689 * 29078814248401
7,	2,	x^68 + x^67 + 3*x^7 + 5	2^5 * 3 * 5^2 * 137 * 14009 * 59361349 * 2767631689 * 29078814248401 * 133088039373662309
7,	3,	True	
7,	4,	True	
7,	5,	True	
11,	1,	x^34 + x^33 + x + 2	2^3 * 3 * 5 * 71707 * 264793 * 2218331 * 50544702849929377
11,	2,	True	2^4 * 3 * 5 * 61 * 137 * 71707 * 264793 * 2218331 * 2481791513 * 9598959833 * 641625222857 * 50544702849929377
11,	3,	True	
11,	4,	True	
13,	1,	x^34 + x^33 + 7	2^3 * 3 * 7 * 103 * 443 * 15798461357509 * 617886851384381281
