p,	r,	result
2,	1,	x^90 + x^89 + x^70 + x^5 + 1	3^3 * 7 * 11 * 19 * 31 * 73 * 151 * 331 * 631 * 23311 * 18837001
2,	2,	x^180 + x^179 + x^147 + x^11 + 1	3^3 * 5^2 * 7 * 11 * 13 * 19 * 31 * 37 * 41 * 61 * 73 * 109 * 151 * 181 * 331 * 631 * 1321 * 23311 * 54001 * 18837001 * 29247661
2,	3,	x^270 + x^269 + x^182 + x^4 + 1	3^4 * 7 * 11 * 19 * 31 * 73 * 151 * 271 * 331 * 631 * 811 * 15121 * 23311 * 87211 * 262657 * 348031 * 18837001 * 49971617830801 * 385838642647891
2,	4,	Regular
2,	5,	x^450 + x^449 + x^284 + x^5 + 1	3^3 * 7 * 11 * 19 * 31 * 73 * 151 * 251 * 331 * 601 * 631 * 1801 * 4051 * 23311 * 100801 * 115201 * 617401 * 10567201 * 18837001 * 1348206751 * 4714696801 * 1133836730401 * 13861369826299351 * 281941472953710177758647201
2,	6,	x^540 + x^539 + x^168 + x^8 + 1	3^4 * 5^2 * 7 * 11 * 13 * 19 * 31 * 37 * 41 * 61 * 73 * 109 * 151 * 181 * 271 * 331 * 541 * 631 * 811 * 1321 * 15121 * 23311 * 30241 * 49681 * 54001 * 87211 * 246241 * 262657 * 279073 * 348031 * 18837001 * 29247661 * 49971617830801 * 165041853060421 * 385838642647891 * 166242935471754241
2,	7,	x^630 + x^629 + x^551 + x^11 + 1	3^3 * 7^2 * 11 * 19 * 31 * 43 * 71 * 73 * 127 * 151 * 211 * 281 * 331 * 337 * 631 * 5419 * 23311 * 29191 * 86171 * 92737 * 106681 * 122921 * 152041 * 649657 * 664441 * 870031 * 983431 * 1564921 * 1765891 * 18837001 * 77158673929 * 29728307155963706810228435378401 * 11247702599676505481447137991664348691
2,	8,	Regular
2,	9,	True	3^5 * 7 * 11 * 19 * 31 * 73 * 151 * 163 * 271 * 331 * 631 * 811 * 2593 * 6481 * 9721 * 15121 * 23311 * 71119 * 87211 * 135433 * 262657 * 348031 * 537841 * 18837001 * 74967931 * 97685839 * 272010961 * 2437880491 * 448217524891 * 10360573664851 * 49971617830801 * 385838642647891 * 1969543281137041 * 11096527935003481 * 17645665556213400107370602081155737281406841
2,	10,	True	3^3 * 5^3 * 7 * 11 * 13 * 19 * 31 * 37 * 41 * 61 * 73 * 101 * 109 * 151 * 181 * 251 * 331 * 601 * 631 * 1201 * 1321 * 1801 * 4051 * 8101 * 23311 * 54001 * 63901 * 100801 * 115201 * 268501 * 617401 * 695701 * 10567201 * 13334701 * 18837001 * 29247661 * 1182468601 * 1348206751 * 4714696801 * 1133836730401 * 307116398490301 * 413150254353901 * 6269989892198401 * 13861369826299351 * 3192261504216112476901 * 281941472953710177758647201
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	True	
2,	15,	True	
2,	16,	Regular
2,	17,	True	
2,	18,	True	
3,	1,	x^90 + x^89 + x^29 + 2	2^3 * 7 * 11^2 * 13 * 19 * 31 * 37 * 61 * 181 * 271 * 757 * 1621 * 4561 * 387631 * 755551 * 927001
3,	2,	x^180 + x^179 + 2*x^124 + x^2 + 2	2^4 * 5^2 * 7 * 11^2 * 13 * 19 * 31 * 37 * 61 * 73 * 181 * 271 * 757 * 1181 * 1621 * 4561 * 176401 * 387631 * 530713 * 755551 * 927001 * 47763361 * 452808441334403281
3,	3,	x^270 + x^269 + x^63 + 2	2^3 * 7 * 11^2 * 13 * 19 * 31 * 37 * 61 * 109 * 181 * 271 * 433 * 541 * 757 * 1621 * 3511 * 4561 * 4591 * 8209 * 19441 * 19927 * 387631 * 451441 * 487891 * 755551 * 927001 * 53825041 * 73321201 * 86548771 * 773618132427345151923061
3,	4,	Regular
3,	5,	x^450 + x^449 + 2*x^11 + 2*x + 2	2^3 * 7 * 11^2 * 13 * 19 * 31 * 37 * 61 * 151 * 181 * 271 * 601 * 757 * 1621 * 1801 * 2551 * 4561 * 8951 * 9601 * 26251 * 116101 * 119101 * 387631 * 391151 * 755551 * 875701 * 927001 * 1530601 * 16985251 * 22996651 * 697381651 * 1988005951 * 2098303812601 * 286870274711101 * 515009259868501 * 119634969443826601 * 42371780936823290675409648751
3,	6,	True	2^4 * 5^2 * 7 * 11^2 * 13 * 19 * 31 * 37 * 61 * 73 * 109 * 181 * 271 * 433 * 541 * 757 * 1181 * 1621 * 3511 * 4561 * 4591 * 8209 * 19441 * 19927 * 176401 * 387631 * 451441 * 487891 * 530713 * 755551 * 927001 * 47763361 * 53825041 * 73321201 * 86548771 * 150612481 * 150094634909578633 * 452808441334403281 * 235234345635395687521 * 773618132427345151923061 * 14325143676754029471787455941687663883841
3,	7,	True	
3,	8,	Regular
3,	9,	True	
3,	10,	True	
3,	11,	True	
5,	1,	x^90 + x^89 + 2*x + 3	2^3 * 3^3 * 7 * 11 * 19 * 31 * 61 * 71 * 181 * 521 * 829 * 1171 * 1741 * 5167 * 7621 * 169831 * 297315901 * 60081451169922001
5,	2,	Regular
5,	3,	x^270 + x^269 + 4*x^47 + 3	2^3 * 3^4 * 7 * 11 * 19 * 31 * 61 * 71 * 109 * 163 * 181 * 271 * 487 * 521 * 541 * 829 * 1171 * 1741 * 4159 * 5167 * 7621 * 11071 * 31051 * 164701 * 169831 * 16018507 * 297315901 * 31472682400981 * 182517282870121 * 60081451169922001 * 223823944168266601 * 1312315694449748688331 * 26941244373060650224561
5,	4,	Regular
5,	5,	True	
5,	6,	Regular
5,	7,	True	
7,	1,	x^90 + x^89 + 4*x^19 + 5	2^4 * 3^3 * 11 * 19 * 31 * 37 * 43 * 191 * 541 * 1063 * 2801 * 117307 * 154351 * 159871 * 295831 * 6568801 * 7777981 * 1527007411 * 125096112091
7,	2,	x^180 + x^179 + 3*x^21 + 5	2^5 * 3^3 * 5^3 * 11 * 13 * 19 * 31 * 37 * 43 * 61 * 181 * 191 * 281 * 541 * 1063 * 2801 * 4021 * 9901 * 117307 * 154351 * 159871 * 295831 * 6568801 * 7777981 * 1527007411 * 13841169553 * 125096112091 * 555915824341 * 1795168434777002101 * 2065025164427492401
7,	3,	True	2^4 * 3^4 * 11 * 19 * 31 * 37 * 43 * 109 * 191 * 271 * 541 * 811 * 1063 * 2377 * 2801 * 117307 * 154351 * 159871 * 185221 * 295831 * 2583253 * 6568801 * 7777981 * 40724371 * 1527007411 * 17796529171 * 125096112091 * 1628413557556843 * 175561876921802311 * 797937984757981841530188510084780901 * 9702177054167026087524587559070266823314361
7,	4,	Regular
7,	5,	True	
7,	6,	True	
11,	1,	x^90 + x^89 + 9*x^8 + 7	2^3 * 3^3 * 5^2 * 7 * 19 * 31 * 37 * 181 * 631 * 3221 * 13421 * 590077 * 1772893 * 7537711 * 195019441 * 86306335830799838011 * 9842332430037465033595921
11,	2,	Regular
11,	3,	True	
11,	4,	Regular
11,	5,	True	
13,	1,	x^90 + x^89 + 12*x + 7	2^3 * 3^3 * 7 * 11 * 19 * 31 * 61 * 157 * 181 * 271 * 937 * 2251 * 2411 * 4651 * 12601 * 30941 * 161971 * 1609669 * 28325071 * 19145097390154976011 * 2997534286720771645924621
13,	2,	x^180 + x^179 + 11*x^2 + 6	2^4 * 3^3 * 5^2 * 7 * 11 * 17 * 19 * 31 * 37 * 61 * 157 * 181 * 271 * 421 * 601 * 641 * 937 * 2251 * 2411 * 4651 * 12601 * 28393 * 30941 * 161971 * 428041 * 1471069 * 1609669 * 28325071 * 460655521 * 1453046401 * 14513462249341141 * 19145097390154976011 * 2997534286720771645924621 * 20300651374434580451862189685540688221
13,	3,	True	
13,	4,	Regular
13,	5,	True	
17,	1,	x^90 + x^89 + 5*x + 6	2^5 * 3^4 * 7 * 11 * 13 * 19 * 31 * 71 * 101 * 307 * 1423 * 3691 * 5653 * 33931 * 88741 * 316531 * 1270657 * 1674271 * 238212511 * 2220161311 * 5113320301 * 6566760001 * 152924817473166888991
17,	2,	x^180 + x^179 + 13*x^2 + 10	2^6 * 3^4 * 5^2 * 7 * 11 * 13 * 19 * 29 * 31 * 37 * 61 * 71 * 101 * 109 * 181 * 307 * 541 * 1423 * 1801 * 2089 * 3691 * 5653 * 21881 * 33931 * 63541 * 83233 * 88741 * 111781 * 316531 * 382069 * 620461 * 1270657 * 1674271 * 5491081 * 238212511 * 2220161311 * 5113320301 * 6566760001 * 184665652921 * 1479639031521241 * 152924817473166888991 * 909720698865858594937498681
17,	3,	True	
17,	4,	Regular
19,	1,	x^90 + x^89 + 9*x^5 + 15	2^3 * 3^4 * 5^2 * 7^3 * 11 * 31 * 61 * 127 * 151 * 199 * 211 * 271 * 523 * 911 * 2251 * 6661 * 29989 * 236377 * 584911 * 1081291 * 2460181 * 8374006851436085760993151 * 735546785834162565719034301
19,	2,	Regular
19,	3,	True	
19,	4,	Regular
23,	1,	x^90 + x^89 + 4*x + 15	2^4 * 3^3 * 7 * 11 * 13^2 * 19 * 31 * 41 * 79 * 151 * 163 * 211 * 271 * 1117 * 189901 * 292561 * 7792003 * 541119751 * 35799017131 * 74912328481 * 70648899716680111 * 480211292412647894626919619228001
