p,	r,	result
2,	1,	x^84 + x^83 + x^82 + x^2 + 1	3^2 * 5 * 7^2 * 13 * 29 * 43 * 113 * 127 * 337 * 1429 * 5419 * 14449
2,	2,	x^168 + x^167 + x^59 + x^10 + 1	3^2 * 5 * 7^2 * 13 * 17 * 29 * 43 * 113 * 127 * 241 * 337 * 1429 * 3361 * 5419 * 14449 * 15790321 * 88959882481
2,	3,	x^252 + x^251 + x^32 + x^8 + 1	3^3 * 5 * 7^2 * 13 * 19 * 29 * 37 * 43 * 73 * 109 * 113 * 127 * 337 * 1429 * 5419 * 14449 * 92737 * 649657 * 40388473189 * 77158673929 * 118750098349
2,	4,	x^336 + x^335 + x^68 + x^6 + 1	3^2 * 5 * 7^2 * 13 * 17 * 29 * 43 * 97 * 113 * 127 * 241 * 257 * 337 * 673 * 1429 * 2017 * 3361 * 5153 * 5419 * 14449 * 15790321 * 25629623713 * 54410972897 * 88959882481 * 1538595959564161
2,	5,	x^420 + x^419 + x^96 + x^18 + 1	3^2 * 5^2 * 7^2 * 11 * 13 * 29 * 31 * 41 * 43 * 61 * 71 * 113 * 127 * 151 * 211 * 281 * 331 * 337 * 421 * 1321 * 1429 * 5419 * 14449 * 29191 * 86171 * 106681 * 122921 * 152041 * 664441 * 1564921 * 7416361 * 47392381 * 146919792181 * 1041815865690181
2,	6,	Regular
2,	7,	x^588 + x^587 + x^48 + x^6 + 1	3^2 * 5 * 7^3 * 13 * 29 * 43 * 113 * 127 * 197 * 337 * 1429 * 5419 * 14449 * 540961 * 748819 * 19707683773 * 4363953127297 * 4432676798593 * 4981857697937 * 26032885845392093851 * 40544859693521152369 * 2741672362528725535068727 * 17059410504738323992180849
2,	8,	True	3^2 * 5 * 7^2 * 13 * 17 * 29 * 43 * 97 * 113 * 127 * 193 * 241 * 257 * 337 * 449 * 673 * 1429 * 2017 * 2689 * 3361 * 5153 * 5419 * 14449 * 65537 * 15790321 * 22253377 * 47886721 * 183076097 * 25629623713 * 54410972897 * 88959882481 * 358429848460993 * 1538595959564161 * 131084304485119425504284495119889529996019181850241
2,	9,	True	3^4 * 5 * 7^2 * 13 * 19 * 29 * 37 * 43 * 73 * 109 * 113 * 127 * 337 * 379 * 757 * 1429 * 5419 * 14449 * 87211 * 92737 * 119827 * 246241 * 262657 * 279073 * 649657 * 1560007 * 40388473189 * 77158673929 * 118750098349 * 127391413339 * 56202143607667 * 207617485544258392970753527 * 456376431053626339473533320957 * 304832756195865229284807891468769
2,	10,	True	
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	True	
2,	15,	True	
2,	16,	True	
2,	17,	True	
2,	18,	Regular
3,	1,	x^84 + x^83 + 2*x^18 + 2*x + 2	2^4 * 5 * 7^2 * 13 * 29 * 43 * 73 * 547 * 1093 * 2269 * 2857 * 16493 * 368089 * 109688713
3,	2,	x^168 + x^167 + 2*x^127 + 2*x + 2	2^5 * 5 * 7^2 * 13 * 29 * 41 * 43 * 73 * 337 * 547 * 673 * 1009 * 1093 * 2269 * 2857 * 6481 * 16493 * 167329 * 368089 * 430697 * 647753 * 109688713 * 2108826721
3,	3,	x^252 + x^251 + 2*x^48 + 2*x + 2	2^4 * 5 * 7^2 * 13 * 19 * 29 * 37 * 43 * 73 * 127 * 547 * 757 * 883 * 1093 * 2269 * 2521 * 2857 * 16493 * 368089 * 530713 * 1180369 * 109688713 * 550554229 * 475110761833 * 40226570408250073 * 144542918285300809
3,	4,	x^336 + x^335 + 2*x^200 + x^2 + 2	2^6 * 5 * 7^2 * 13 * 17 * 29 * 41 * 43 * 73 * 97 * 113 * 193 * 337 * 547 * 577 * 673 * 769 * 1009 * 1093 * 2269 * 2857 * 6481 * 13441 * 16493 * 19489 * 167329 * 368089 * 430697 * 647753 * 109688713 * 2108826721 * 36214795668330833 * 473451024093683360527418040621798755737921
3,	5,	x^420 + x^419 + 2*x^257 + 2*x^2 + 2	2^4 * 5^2 * 7^2 * 11^2 * 13 * 29 * 31 * 43 * 61 * 71 * 73 * 211 * 271 * 421 * 547 * 1051 * 1093 * 1181 * 2269 * 2857 * 4201 * 4561 * 6301 * 16493 * 24151 * 368089 * 1616161 * 3369031 * 3454081 * 28596961 * 32839661 * 47763361 * 94373861 * 109688713 * 2664097031 * 7035101641 * 26751945361 * 374857981681 * 871383685710721 * 222665666643176401
3,	6,	Regular
3,	7,	True	
3,	8,	True	
3,	9,	True	
3,	10,	True	
3,	11,	True	
5,	1,	x^84 + x^83 + x^24 + 3	2^4 * 3^2 * 7^2 * 13 * 29 * 31 * 43 * 127 * 379 * 449 * 601 * 2521 * 7603 * 19531 * 519499 * 234750601 * 24587411156281
5,	2,	x^168 + x^167 + x^36 + 3	2^5 * 3^2 * 7^2 * 13 * 29 * 31 * 43 * 127 * 313 * 379 * 449 * 601 * 2521 * 6553 * 7603 * 19531 * 90217 * 390001 * 519499 * 234750601 * 24587411156281 * 59509429687890001 * 6019022585035590658668001
5,	3,	x^252 + x^251 + 2*x^24 + 2	2^4 * 3^3 * 7^2 * 13 * 19 * 29 * 31 * 37 * 43 * 127 * 379 * 449 * 601 * 829 * 883 * 2521 * 5167 * 7603 * 19531 * 280729 * 406729 * 519499 * 2161279 * 6597973 * 24132781 * 234750601 * 1692416503 * 4661402165281 * 23792163643711 * 24587411156281 * 147053007410401 * 308942475257273345172721
5,	4,	True	2^6 * 3^2 * 7^2 * 13 * 17 * 29 * 31 * 43 * 113 * 127 * 313 * 337 * 379 * 449 * 601 * 2521 * 6553 * 7603 * 11489 * 12433 * 19531 * 90217 * 390001 * 519499 * 234750601 * 2520917617 * 152587500001 * 24587411156281 * 59509429687890001 * 37007700327977836913 * 6019022585035590658668001 * 44763922656823409574575008753 * 22678663531006893220213039493696449
5,	5,	True	
5,	6,	Regular
5,	7,	True	
7,	1,	Regular
7,	2,	Regular
7,	3,	Regular
7,	4,	Regular
7,	5,	Regular
7,	6,	Regular
11,	1,	x^84 + 2*x^83 + 3*x^8 + 6	2^4 * 3^2 * 5 * 7^2 * 13 * 19 * 29 * 37 * 43 * 61 * 1117 * 1723 * 1933 * 8527 * 19069 * 27763 * 45319 * 1623931 * 55527473 * 3421169496361 * 520799717831587692709
11,	2,	x^168 + x^167 + 7*x^2 + 8	2^5 * 3^2 * 5 * 7^2 * 13 * 19 * 29 * 37 * 43 * 61 * 113 * 449 * 1117 * 1723 * 1933 * 2521 * 7321 * 8527 * 10657 * 19069 * 20113 * 27763 * 45319 * 1623931 * 55527473 * 201407641 * 70107576001 * 3421169496361 * 77001139434480073 * 520799717831587692709 * 6871280144418624289685328789001
11,	3,	True	
11,	4,	True	
11,	5,	True	
13,	1,	x^84 + x^83 + 11*x^3 + 2	2^4 * 3^2 * 5 * 7^2 * 17 * 29 * 43 * 61 * 157 * 337 * 463 * 547 * 673 * 2857 * 4621 * 22079 * 28393 * 2714377 * 5229043 * 54165939703 * 23161037562937 * 61452748127532301
13,	2,	Regular
13,	3,	True	
13,	4,	Regular
17,	1,	x^84 + x^83 + 3*x + 5	2^6 * 3^3 * 5 * 7^2 * 13 * 29 * 43 * 307 * 1093 * 13567 * 83233 * 5766433 * 22796593 * 25646167 * 100688449 * 940143709 * 88109799136087 * 311640640511791392291238477
17,	2,	x^168 + x^167 + 13*x^3 + 3	2^7 * 3^3 * 5 * 7^2 * 13 * 29 * 43 * 73 * 307 * 1093 * 1321 * 2801 * 13567 * 15121 * 41761 * 72337 * 83233 * 5766433 * 22796593 * 25646167 * 100688449 * 940143709 * 12876020081 * 622434484561 * 88109799136087 * 788614047082016621761 * 311640640511791392291238477 * 146113020027428492517069858641692704961
17,	3,	True	
17,	4,	True	
19,	1,	x^84 + x^83 + 12*x + 2	2^4 * 3^3 * 5 * 7^4 * 13^2 * 29 * 43^2 * 127 * 181 * 197 * 701 * 769 * 5237 * 70841 * 226871 * 343393 * 524119 * 2141413 * 30640261 * 68443621 * 1301151937 * 14533200697 * 1763028507911581
19,	2,	x^168 + x^167 + 9*x + 3	2^5 * 3^3 * 5 * 7^4 * 13^2 * 17 * 29 * 43^2 * 127 * 181 * 197 * 701 * 769 * 3833 * 4297 * 5237 * 70841 * 226871 * 343393 * 524119 * 2141413 * 3952393 * 30640261 * 68443621 * 1301151937 * 14533200697 * 1763028507911581 * 4898725341275828472027787456561 * 23998062398124645230684200886199639379692123219957073061793121
19,	3,	True	
19,	4,	True	
23,	1,	x^84 + x^83 + 16*x^2 + 15	2^5 * 3^2 * 5 * 7^2 * 11 * 13^2 * 29 * 37 * 43 * 53 * 71 * 79 * 673 * 2969 * 7549 * 10781 * 170689 * 598193 * 3250549 * 3391669 * 5336717 * 408030421 * 1707540478981 * 86688309528409 * 22865554874031409
23,	2,	True	2^6 * 3^2 * 5 * 7^2 * 11 * 13^2 * 29 * 37 * 43 * 53 * 71 * 79 * 673 * 937 * 2969 * 7549 * 10781 * 11257 * 139921 * 170689 * 598193 * 3250549 * 3391669 * 5336717 * 83575993 * 408030421 * 1707540478981 * 86688309528409 * 22865554874031409 * 480249047846803230704957710381921 * 20488728835779778300125444564685725157744884719388147850741513
23,	3,	True	
23,	4,	True	
29,	1,	x^84 + x^83 + 13*x + 26	2^4 * 3^2 * 5 * 7^2 * 13 * 37 * 43 * 61 * 67 * 271 * 313 * 421 * 6637 * 1035469 * 2989309 * 88009573 * 427822081 * 574995877 * 826031641 * 8220076663 * 45517753174237 * 51473298317533 * 921120437522377
29,	2,	Regular
29,	3,	True	
31,	1,	x^84 + x^83 + 3*x + 13	2^7 * 3^2 * 5 * 7^3 * 13 * 19 * 29 * 37 * 43 * 211 * 331 * 6301 * 7253 * 11971 * 13469 * 71821 * 922561 * 163598989 * 277739477 * 917087137 * 2813432694367 * 4038949965541 * 550469850411853 * 939903457569889
31,	2,	True	
31,	3,	True	
37,	1,	x^84 + x^83 + 26*x + 35	2^4 * 3^3 * 5 * 7^2 * 13 * 19 * 29 * 31 * 43 * 67 * 71 * 137 * 337 * 673 * 25453 * 144061 * 745529 * 4497991 * 7992349 * 37140797 * 452091109 * 1655684479 * 2498207293 * 4083348151 * 8264338657 * 15571142892929855158831009
37,	2,	True	
37,	3,	Regular
41,	1,	x^84 + x^83 + 6*x^2 + 29	2^5 * 3^2 * 5 * 7^2 * 13 * 29^2 * 43 * 71 * 109 * 337 * 547 * 1723 * 1993 * 59473 * 9329993 * 113229229 * 114576514249 * 22013480670406449841 * 22550075621233982641 * 23113483969970021041 * 221832659824914541369
41,	2,	Regular
41,	3,	True	
43,	1,	Regular
43,	2,	Regular
43,	3,	Regular
47,	1,	x^84 + x^83 + 5*x^2 + 43	2^6 * 3^2 * 5 * 7^2 * 13 * 17 * 23 * 29 * 37 * 43 * 61 * 103 * 127 * 757 * 1213 * 3529 * 4021 * 5881 * 23227 * 95929 * 400681 * 1794703 * 2155861 * 256128979 * 2234786206087 * 358702303120561 * 5290343359778849 * 37653988277987680193214481
47,	2,	True	
47,	3,	True	
53,	1,	x^84 + x^83 + 8*x + 21	2^4 * 3^4 * 5 * 7^2 * 13 * 29 * 43 * 113 * 281 * 409 * 673 * 919 * 1153 * 2647 * 6841 * 32323789 * 511509937 * 778986167 * 3130547197 * 189091264897987327 * 4345876805521190969 * 241421226027686911357322160214972373412241
53,	2,	True	
53,	3,	True	
59,	1,	x^84 + x^83 + 5*x + 6	2^4 * 3^2 * 5 * 7^2 * 13 * 29 * 43 * 163 * 281 * 757 * 1741 * 2927 * 3541 * 4691 * 379387 * 578509 * 931837 * 2153873 * 3540223 * 14170661 * 192446563 * 1427477213 * 4470051274542589 * 1749050046002344546441 * 708370583719323806088269029
59,	2,	True	
59,	3,	True	
61,	1,	x^84 + x^83 + 8*x + 7	2^4 * 3^2 * 5 * 7^2 * 13 * 29 * 31 * 43 * 97 * 127 * 523 * 1861 * 3529 * 13842121 * 67667377 * 383188373 * 1370787643 * 6538547527 * 50689400581 * 52379047267 * 20557846922649109543 * 7047461938243752725631197127427888804001521
61,	2,	True	
