p,	e,	result
5,	3,	True	2^2 * 19^2 * 31 * 191 * 829 * 6271 * 3981071 * 11735415506748076408140121 * 160886188043803054530871719304783265100827282810075925369403839312088918579
5,	3,	True	2^2 * 19^2 * 31 * 191 * 829 * 6271 * 3981071 * 11735415506748076408140121 * 160886188043803054530871719304783265100827282810075925369403839312088918579
5,	3,	True	2^2 * 19^2 * 31 * 191 * 829 * 6271 * 3981071 * 11735415506748076408140121 * 160886188043803054530871719304783265100827282810075925369403839312088918579
5,	3,	True	2^2 * 19^2 * 31 * 191 * 829 * 6271 * 3981071 * 11735415506748076408140121 * 160886188043803054530871719304783265100827282810075925369403839312088918579
5,	4,	True	
5,	4,	True	
5,	4,	True	
5,	4,	True	
5,	5,	True	
5,	5,	True	
5,	5,	True	
5,	5,	True	
5,	6,	True	
5,	6,	True	
5,	6,	True	
7,	1,	x^57 + 3*x^56 + 4	2 * 3^2 * 19^2 * 419 * 19609 * 879399649 * 4534166740403 * 6957533874046531
7,	2,	x^114 + x^113 + 6*x^19 + 3	2^4 * 3^2 * 19^2 * 43 * 419 * 457 * 19609 * 351121 * 879399649 * 4058036683 * 24006520939 * 4534166740403 * 6957533874046531 * 275430251632699963
7,	3,	Regular
7,	3,	Regular
7,	3,	Regular
7,	3,	Regular
7,	4,	True	
7,	4,	True	
7,	4,	True	
7,	4,	True	
7,	5,	True	
7,	5,	True	
7,	5,	True	
11,	1,	x^57 + 2*x^56 + 6*x + 9	2 * 5 * 7 * 19^2 * 1047623475541 * 6115909044841454629 * 1412900479108654932024439
11,	2,	x^114 + 2*x^113 + 3*x^15 + 6	2^3 * 3^2 * 5 * 7 * 19^2 * 37 * 191 * 229 * 6043 * 75013 * 83791 * 1390636259 * 1047623475541 * 6115909044841454629 * 1412900479108654932024439 * 74337838382167137728921322559
11,	3,	Regular
11,	3,	Regular
11,	3,	Regular
11,	3,	Regular
11,	4,	True	
11,	4,	True	
11,	4,	True	
13,	1,	x^57 + x^56 + 6	2^2 * 3^2 * 61 * 12865927 * 796956375829 * 9468940004449 * 14654187650846568795703728901
13,	2,	x^114 + x^113 + 5*x + 2	2^3 * 3^2 * 7 * 61 * 157 * 845083 * 12865927 * 796956375829 * 9468940004449 * 2657518772948983 * 6061387217546931661 * 104422877883960436477 * 14654187650846568795703728901
13,	3,	True	
13,	3,	True	
13,	3,	True	
13,	3,	True	
13,	4,	True	
13,	4,	True	
13,	4,	True	
17,	1,	x^57 + x^56 + 4*x + 12	2^4 * 229 * 307 * 1103 * 202607147 * 291973723 * 6162410920417 * 30211339578587520100541032742977
17,	2,	True	2^5 * 3^3 * 7 * 13 * 229 * 307 * 457 * 1103 * 1559 * 2927 * 312931 * 20352763 * 202607147 * 291973723 * 6162410920417 * 30211339578587520100541032742977 * 209361280236010317284988424624480918415704609
17,	2,	True	2^5 * 3^3 * 7 * 13 * 229 * 307 * 457 * 1103 * 1559 * 2927 * 312931 * 20352763 * 202607147 * 291973723 * 6162410920417 * 30211339578587520100541032742977 * 209361280236010317284988424624480918415704609
17,	2,	True	2^5 * 3^3 * 7 * 13 * 229 * 307 * 457 * 1103 * 1559 * 2927 * 312931 * 20352763 * 202607147 * 291973723 * 6162410920417 * 30211339578587520100541032742977 * 209361280236010317284988424624480918415704609
17,	2,	True	2^5 * 3^3 * 7 * 13 * 229 * 307 * 457 * 1103 * 1559 * 2927 * 312931 * 20352763 * 202607147 * 291973723 * 6162410920417 * 30211339578587520100541032742977 * 209361280236010317284988424624480918415704609
17,	2,	True	2^5 * 3^3 * 7 * 13 * 229 * 307 * 457 * 1103 * 1559 * 2927 * 312931 * 20352763 * 202607147 * 291973723 * 6162410920417 * 30211339578587520100541032742977 * 209361280236010317284988424624480918415704609
17,	3,	True	
17,	3,	True	
17,	3,	True	
17,	3,	True	
19,	1,	Regular
19,	1,	Regular
19,	1,	Regular
19,	1,	Regular
19,	1,	Regular
19,	2,	Regular
19,	2,	Regular
19,	2,	Regular
19,	2,	Regular
19,	3,	Regular
19,	3,	Regular
19,	3,	Regular
19,	3,	Regular
23,	1,	x^57 + x^56 + 16*x + 3	2 * 7 * 11 * 79 * 2129 * 63877469 * 2350382803 * 24939218613613 * 1420450672756039 * 3015559345436616275558557
23,	2,	True	2^4 * 3^2 * 7 * 11 * 13^2 * 79 * 2129 * 493811 * 3195383 * 63877469 * 2350382803 * 1970307281599 * 24939218613613 * 58531113508957 * 1420450672756039 * 3015559345436616275558557 * 187613041036751523641931607764619717
23,	2,	True	2^4 * 3^2 * 7 * 11 * 13^2 * 79 * 2129 * 493811 * 3195383 * 63877469 * 2350382803 * 1970307281599 * 24939218613613 * 58531113508957 * 1420450672756039 * 3015559345436616275558557 * 187613041036751523641931607764619717
23,	2,	True	2^4 * 3^2 * 7 * 11 * 13^2 * 79 * 2129 * 493811 * 3195383 * 63877469 * 2350382803 * 1970307281599 * 24939218613613 * 58531113508957 * 1420450672756039 * 3015559345436616275558557 * 187613041036751523641931607764619717
23,	2,	True	2^4 * 3^2 * 7 * 11 * 13^2 * 79 * 2129 * 493811 * 3195383 * 63877469 * 2350382803 * 1970307281599 * 24939218613613 * 58531113508957 * 1420450672756039 * 3015559345436616275558557 * 187613041036751523641931607764619717
23,	3,	True	
23,	3,	True	
23,	3,	True	
29,	1,	x^57 + x^56 + 10*x^2 + 3	2^2 * 7 * 13 * 67 * 571 * 11971 * 73303 * 1386659 * 274773085966123 * 157193380600163813309 * 310629920727179958380414509
29,	2,	True	
29,	2,	True	
29,	2,	True	
29,	2,	True	
29,	3,	True	
29,	3,	True	
29,	3,	True	
31,	1,	x^57 + 3*x^56 + 20	2 * 3^2 * 5 * 331 * 571 * 7639 * 14251 * 36068660903683 * 88770666332610762169 * 1716439847900062900800798410166938893
31,	2,	True	
31,	2,	True	
31,	2,	True	
31,	2,	True	
31,	3,	Regular
31,	3,	Regular
31,	3,	Regular
37,	1,	Regular
37,	1,	Regular
37,	1,	Regular
37,	1,	Regular
37,	1,	Regular
37,	2,	Regular
37,	2,	Regular
37,	2,	Regular
37,	2,	Regular
37,	3,	Regular
37,	3,	Regular
37,	3,	Regular
41,	1,	x^57 + x^56 + 12	2^3 * 5 * 1723 * 8209 * 12541 * 8836483 * 87423871753 * 100200775387183 * 3291273019692283 * 46942656876726812042686567205521
41,	2,	True	
41,	2,	True	
41,	2,	True	
41,	2,	True	
41,	3,	True	
41,	3,	True	
41,	3,	True	
43,	1,	x^57 + 2*x^56 + 17	2 * 3^2 * 7 * 229 * 631 * 2699 * 4219 * 4789 * 46399 * 1849563931 * 2137444528747943 * 5364496730517951157 * 1311618484739715440814232723
43,	2,	True	
43,	2,	True	
43,	2,	True	
43,	2,	True	
47,	1,	x^57 + x^56 + 27	2 * 23 * 37 * 61 * 419 * 93498583 * 65247271367 * 46808539630950829 * 14397296085598887763 * 1140515199025832036328421387198141
47,	2,	True	
47,	2,	True	
47,	2,	True	
47,	2,	True	
53,	1,	x^57 + x^56 + 2*x + 14	2^2 * 7 * 13 * 229 * 409 * 11173 * 32688470798197 * 1482545708952391 * 1559280737801263 * 6676787957690130358949694821648387257990411
53,	2,	True	
53,	2,	True	
53,	2,	True	
53,	2,	True	
59,	1,	x^57 + x^56 + 27	2 * 29 * 571 * 1483 * 3541 * 183503 * 436279 * 45910995763 * 301077652751 * 2419927913647 * 5357349113353 * 34791919923489151288734676348327
59,	2,	True	
59,	2,	True	
59,	2,	True	
59,	2,	True	
61,	1,	x^57 + x^56 + 4*x + 59	2^2 * 3^2 * 5 * 13 * 97 * 229 * 1483 * 151849 * 121563167384352970891 * 607127818287731321660577427051 * 671958256482129476743282426064268073
61,	2,	True	
61,	2,	True	
61,	2,	True	
61,	2,	True	
67,	1,	x^57 + 2*x^56 + 36	2 * 3^2 * 7^2 * 11 * 31 * 37318200548298732592497943 * 751410597400064602523400427092397 * 14462480279684781881327205457156365973663
67,	2,	True	
67,	2,	True	
67,	2,	True	
67,	2,	True	
71,	1,	x^57 + x^56 + x + 50	2 * 5 * 7 * 5113 * 39217 * 6598777 * 26240407 * 1900857799450121 * 570802721715524791 * 1121659287043817009 * 1123950115539903139678236451417
71,	2,	True	
71,	2,	True	
71,	2,	True	
71,	2,	True	
73,	1,	x^57 + x^56 + 53	2^3 * 3^3 * 1801 * 48527 * 67679 * 120369471138508297 * 1069952429562890572890811 * 98427706290669981617572571666365294380800995456777
73,	2,	True	
73,	2,	True	
73,	2,	True	
73,	2,	True	
79,	1,	x^57 + x^56 + x + 73	2 * 3^2 * 7^2 * 13 * 43 * 457 * 447907 * 4013827 * 200413027 * 36207876073 * 1284297400723 * 11287820865799 * 56523439431961 * 606691373799049147096950201391
79,	2,	True	
79,	2,	True	
79,	2,	True	
79,	2,	True	
83,	1,	x^57 + x^56 + 2*x + 27	2 * 19^2 * 41 * 229 * 367 * 6689 * 11933 * 1408429185797 * 314647329516077 * 21200940700453413069480565191511 * 13079876110994967447342031658823169
83,	2,	True	
83,	2,	True	
83,	2,	True	
83,	2,	True	
89,	1,	x^57 + x^56 + 2*x + 24	2^3 * 11 * 8011 * 407741 * 308397361 * 26205153553 * 64156711609 * 110689786879261483849 * 259589135279367544177 * 304468992684888692702752314551
89,	2,	True	
89,	2,	True	
89,	2,	True	
89,	2,	True	
97,	1,	x^57 + x^56 + 82	2^5 * 3^2 * 3169 * 21433 * 280314943 * 505111657 * 8612468874349 * 260231876844631 * 97199158345481611029493 * 292016141084902882555335990261675883
97,	2,	True	
97,	2,	True	
97,	2,	True	
101,	1,	x^57 + x^56 + 51	2^2 * 5^2 * 7069 * 10303 * 1808982826037837 * 94474298622267623 * 10793510443237144651532293 * 131245912849500968977902466186953742594719402757
101,	2,	True	
101,	2,	True	
101,	2,	True	
103,	1,	x^57 + x^56 + 2*x + 63	2 * 3^2 * 17 * 3571 * 1140096103 * 1028166693919 * 16448136582217 * 4150692760000333 * 35864200201854296722357 * 1719123581448138027562643544243028633
103,	2,	True	
103,	2,	True	
103,	2,	True	
107,	1,	x^57 + x^56 + 86	2 * 7 * 13 * 53 * 127 * 191 * 419 * 2699 * 4789 * 10831 * 109517 * 150243450001 * 128989378189603 * 13316360427798188521 * 121939414361630809719395599504082885490569047
107,	2,	True	
107,	2,	True	
107,	2,	True	
109,	1,	x^57 + x^56 + 6	2^2 * 3^4 * 7 * 571 * 1597 * 1787 * 11488834536615439863213549550687 * 2664128404134007786366568953129253 * 1201629627765538411144137491566523283139
109,	2,	True	
109,	2,	True	
109,	2,	True	
113,	1,	Regular
113,	1,	Regular
113,	1,	Regular
113,	1,	Regular
113,	1,	Regular
113,	2,	Regular
113,	2,	Regular
113,	2,	Regular
127,	1,	x^57 + x^56 + x + 74	2 * 3^3 * 7 * 5419 * 193216663 * 9303725479 * 496833428679257 * 962216624078161 * 149861247689324730312041 * 3129872671762300297587752496712257348150577
127,	2,	True	
127,	2,	True	
127,	2,	True	
131,	1,	True	2 * 5 * 13 * 571 * 17293 * 1501837 * 17957193456906043 * 139941921745500859 * 1627898501375482741 * 613165388855391605538917704337303411882316783424922551
131,	1,	True	2 * 5 * 13 * 571 * 17293 * 1501837 * 17957193456906043 * 139941921745500859 * 1627898501375482741 * 613165388855391605538917704337303411882316783424922551
131,	1,	True	2 * 5 * 13 * 571 * 17293 * 1501837 * 17957193456906043 * 139941921745500859 * 1627898501375482741 * 613165388855391605538917704337303411882316783424922551
131,	1,	True	2 * 5 * 13 * 571 * 17293 * 1501837 * 17957193456906043 * 139941921745500859 * 1627898501375482741 * 613165388855391605538917704337303411882316783424922551
131,	1,	True	2 * 5 * 13 * 571 * 17293 * 1501837 * 17957193456906043 * 139941921745500859 * 1627898501375482741 * 613165388855391605538917704337303411882316783424922551
131,	2,	True	
131,	2,	True	
131,	2,	True	
137,	1,	True	2^3 * 7 * 17 * 37 * 73 * 1396348951 * 24503739887999368411 * 291173513911804236660449587340421782827 * 2423999862960602584998795797673998781806924731189
137,	1,	True	2^3 * 7 * 17 * 37 * 73 * 1396348951 * 24503739887999368411 * 291173513911804236660449587340421782827 * 2423999862960602584998795797673998781806924731189
137,	2,	True	
137,	2,	True	
137,	2,	True	
139,	1,	x^57 + 3*x^56 + 66	2 * 3^2 * 13 * 23 * 419 * 499 * 40813 * 303431 * 2972543009343882370915626760369 * 3424512358240514757100643884805551607778091920736067816881978347726941437
139,	2,	True	
139,	2,	True	
139,	2,	True	
149,	1,	True	2^2 * 7 * 31 * 37 * 103 * 229 * 2053 * 49477 * 49517497 * 427227163117 * 53741857369709 * 11955720761551723474463 * 7114180155756605761112742599511674595298773154933453
149,	1,	True	2^2 * 7 * 31 * 37 * 103 * 229 * 2053 * 49477 * 49517497 * 427227163117 * 53741857369709 * 11955720761551723474463 * 7114180155756605761112742599511674595298773154933453
149,	1,	True	2^2 * 7 * 31 * 37 * 103 * 229 * 2053 * 49477 * 49517497 * 427227163117 * 53741857369709 * 11955720761551723474463 * 7114180155756605761112742599511674595298773154933453
149,	1,	True	2^2 * 7 * 31 * 37 * 103 * 229 * 2053 * 49477 * 49517497 * 427227163117 * 53741857369709 * 11955720761551723474463 * 7114180155756605761112742599511674595298773154933453
149,	1,	True	2^2 * 7 * 31 * 37 * 103 * 229 * 2053 * 49477 * 49517497 * 427227163117 * 53741857369709 * 11955720761551723474463 * 7114180155756605761112742599511674595298773154933453
149,	2,	True	
149,	2,	True	
149,	2,	True	
151,	1,	Regular
151,	1,	Regular
151,	1,	Regular
151,	1,	Regular
151,	1,	Regular
151,	2,	Regular
151,	2,	Regular
151,	2,	Regular
157,	1,	True	2^2 * 3^2 * 13 * 8269 * 234271 * 893989 * 419882337316483 * 11150582499819031 * 34365499440375589699 * 11882271315926654811773075479 * 94641878074601093701829971909
157,	1,	True	2^2 * 3^2 * 13 * 8269 * 234271 * 893989 * 419882337316483 * 11150582499819031 * 34365499440375589699 * 11882271315926654811773075479 * 94641878074601093701829971909
157,	2,	True	
157,	2,	True	
157,	2,	True	
163,	1,	x^57 + 2*x^56 + 4	2 * 3^5 * 7 * 19^2 * 67 * 457 * 665723 * 30795049 * 10105275553 * 1655449753183 * 4862375747609 * 2050724835145113929839 * 9670889133694012695893982936664693366174414813
163,	2,	True	
163,	2,	True	
163,	2,	True	
167,	1,	True	2 * 83 * 229 * 28057 * 65204874683373581623 * 87092251017641886883 * 79632364061762089002925852397699504569 * 10268449314768133715916636356439123166297
167,	1,	True	2 * 83 * 229 * 28057 * 65204874683373581623 * 87092251017641886883 * 79632364061762089002925852397699504569 * 10268449314768133715916636356439123166297
167,	2,	True	
167,	2,	True	
167,	2,	True	
173,	1,	True	2^2 * 43 * 229 * 1597 * 30103 * 597551 * 72729208787 * 450739419761227 * 279227865151633389967 * 3575865018077740117389305272035164611021319996672620138822497343
173,	1,	True	2^2 * 43 * 229 * 1597 * 30103 * 597551 * 72729208787 * 450739419761227 * 279227865151633389967 * 3575865018077740117389305272035164611021319996672620138822497343
173,	1,	True	2^2 * 43 * 229 * 1597 * 30103 * 597551 * 72729208787 * 450739419761227 * 279227865151633389967 * 3575865018077740117389305272035164611021319996672620138822497343
173,	1,	True	2^2 * 43 * 229 * 1597 * 30103 * 597551 * 72729208787 * 450739419761227 * 279227865151633389967 * 3575865018077740117389305272035164611021319996672620138822497343
173,	2,	True	
173,	2,	True	
173,	2,	True	
179,	1,	True	2 * 7 * 89 * 4603 * 63841 * 139309 * 7447963 * 7032604589412982759 * 35792133474583554973841412894654212574781 * 2704229811784975252888841665312127796694641457
179,	1,	True	2 * 7 * 89 * 4603 * 63841 * 139309 * 7447963 * 7032604589412982759 * 35792133474583554973841412894654212574781 * 2704229811784975252888841665312127796694641457
179,	1,	True	2 * 7 * 89 * 4603 * 63841 * 139309 * 7447963 * 7032604589412982759 * 35792133474583554973841412894654212574781 * 2704229811784975252888841665312127796694641457
179,	1,	True	2 * 7 * 89 * 4603 * 63841 * 139309 * 7447963 * 7032604589412982759 * 35792133474583554973841412894654212574781 * 2704229811784975252888841665312127796694641457
179,	1,	True	2 * 7 * 89 * 4603 * 63841 * 139309 * 7447963 * 7032604589412982759 * 35792133474583554973841412894654212574781 * 2704229811784975252888841665312127796694641457
179,	2,	True	
179,	2,	True	
179,	2,	True	
181,	1,	x^57 + 2*x^56 + 91	2^2 * 3^3 * 5 * 79 * 139 * 1768141 * 43713986862401934971169718340891095138399 * 1062932788413100223575503960942801959368377125595472338660780496965771030301
181,	2,	True	
181,	2,	True	
181,	2,	True	
191,	1,	Regular
191,	1,	Regular
191,	1,	Regular
191,	1,	Regular
191,	1,	Regular
191,	2,	Regular
191,	2,	Regular
191,	2,	Regular
193,	1,	True	2^6 * 3^2 * 7 * 229 * 1783 * 149911 * 14848802443 * 441470831177 * 8231859639349 * 21168700529862708113 * 4367030171381284164031 * 15362219697255155181473880104673867202609
193,	1,	True	2^6 * 3^2 * 7 * 229 * 1783 * 149911 * 14848802443 * 441470831177 * 8231859639349 * 21168700529862708113 * 4367030171381284164031 * 15362219697255155181473880104673867202609
193,	2,	True	
193,	2,	True	
193,	2,	True	
