p,	r,	result
2,	1,	Regular
2,	2,	Regular
2,	3,	Regular
2,	4,	Regular
2,	5,	Regular
2,	6,	Regular
2,	7,	Regular
2,	8,	Regular
2,	9,	Regular
2,	10,	Regular
2,	11,	Regular
2,	12,	Regular
2,	13,	Regular
2,	14,	Regular
2,	15,	Regular
3,	1,	Regular
3,	2,	Regular
3,	3,	Regular
3,	4,	Regular
3,	5,	Regular
3,	6,	Regular
3,	7,	Regular
3,	8,	Regular
3,	9,	Regular
5,	1,	x^46 + x^45 + 4*x^17 + 3	2^3 * 3 * 47 * 8971 * 332207361361 * 42272797713043
5,	2,	Regular
5,	3,	x^138 + x^137 + 3*x^49 + 2	2^3 * 3^2 * 7 * 31 * 47 * 139 * 6211 * 8971 * 66163549 * 253592389 * 332207361361 * 598761682261 * 8868050880709 * 42272797713043 * 403316413944121
5,	4,	Regular
5,	5,	True	
5,	6,	Regular
7,	1,	x^46 + x^45 + 6*x^5 + 5	2^4 * 3 * 47 * 3083 * 31479823396757 * 3421093417510114543
7,	2,	Regular
7,	3,	True	2^4 * 3^2 * 19 * 43 * 47 * 139 * 277 * 3083 * 402011881627 * 7396787205469 * 31479823396757 * 3421093417510114543 * 8501948915136155490673 * 235169662395069356312233
7,	4,	Regular
7,	5,	True	
11,	1,	x^46 + x^45 + 5*x^3 + 2	2^3 * 3 * 5 * 47 * 829 * 1013 * 241363 * 28878847 * 3740221981231 * 6493405343627
11,	2,	Regular
11,	3,	True	
11,	4,	Regular
13,	1,	Regular
13,	2,	Regular
13,	3,	Regular
13,	4,	Regular
17,	1,	x^46 + x^45 + 11*x + 6	2^5 * 3^2 * 47 * 26552618219228090162977481 * 1109309383381084655697725873
17,	2,	Regular
17,	3,	True	
19,	1,	x^46 + x^45 + 2*x + 14	2^3 * 3^2 * 5 * 47 * 277 * 691 * 2347 * 2531 * 16497763013 * 1335495402823 * 156832034288392140949
19,	2,	Regular
19,	3,	True	
23,	1,	Regular
23,	2,	Regular
23,	3,	Regular
29,	1,	Regular
29,	2,	Regular
29,	3,	Regular
31,	1,	Regular
31,	2,	Regular
31,	3,	Regular
37,	1,	x^46 + x^45 + 7*x + 35	2^3 * 3^2 * 19 * 47 * 397073 * 1495231 * 1555898389 * 33365387742119 * 1845029930335901 * 375176717285846681
37,	2,	Regular
37,	3,	True	
41,	1,	Regular
41,	2,	Regular
43,	1,	x^46 + x^45 + 2*x + 28	2^3 * 3 * 7 * 11 * 47 * 18351737491 * 11264087821629961 * 78492680453872857413 * 978468289765242196189991
43,	2,	Regular
47,	1,	Regular
47,	2,	Regular
53,	1,	x^46 + x^45 + x + 35	2^3 * 3^3 * 13 * 47^2 * 4969 * 12743 * 21529 * 27739 * 16055056483 * 23080289344401529 * 238555128385976578903155847441
53,	2,	Regular
59,	1,	Regular
59,	2,	Regular
