p,	e,	result
2,	1,	x^82 + x^81 + x^9 + x + 1	3 * 83 * 13367 * 164511353 * 8831418697
2,	2,	x^164 + x^163 + x^66 + x + 1	3 * 5 * 83 * 10169 * 13367 * 181549 * 12112549 * 43249589 * 164511353 * 8831418697
2,	3,	x^246 + x^245 + x^41 + x + 1	3^2 * 7 * 83 * 739 * 13367 * 165313 * 3887047 * 164511353 * 8831418697 * 13194317913029593 * 177722253954175633
2,	4,	Regular
2,	4,	Regular
2,	4,	Regular
2,	4,	Regular
2,	4,	Regular
2,	5,	x^410 + x^409 + x^192 + x + 1	3 * 11 * 31 * 83 * 13367 * 2940521 * 164511353 * 8831418697 * 70171342151 * 3655725065508797181674078959681 * 2125820563389437533390243893834597846757304863651
2,	6,	x^492 + x^491 + x^44 + x + 1	3^2 * 5 * 7 * 13 * 83 * 739 * 2953 * 10169 * 13367 * 165313 * 181549 * 3887047 * 12112549 * 43249589 * 164511353 * 802333429 * 8831418697 * 6027043735173469 * 13194317913029593 * 177722253954175633 * 125965976976392564317
2,	7,	True	3 * 43 * 83 * 127 * 1723 * 13367 * 164511353 * 8831418697 * 17137716527 * 84413238703660609 * 4336790831080504259 * 4169136946773000713270790657459827 * 51954390877748655744256192963206220919272895548843817842228913
2,	7,	True	3 * 43 * 83 * 127 * 1723 * 13367 * 164511353 * 8831418697 * 17137716527 * 84413238703660609 * 4336790831080504259 * 4169136946773000713270790657459827 * 51954390877748655744256192963206220919272895548843817842228913
2,	7,	True	3 * 43 * 83 * 127 * 1723 * 13367 * 164511353 * 8831418697 * 17137716527 * 84413238703660609 * 4336790831080504259 * 4169136946773000713270790657459827 * 51954390877748655744256192963206220919272895548843817842228913
2,	7,	True	3 * 43 * 83 * 127 * 1723 * 13367 * 164511353 * 8831418697 * 17137716527 * 84413238703660609 * 4336790831080504259 * 4169136946773000713270790657459827 * 51954390877748655744256192963206220919272895548843817842228913
2,	7,	True	3 * 43 * 83 * 127 * 1723 * 13367 * 164511353 * 8831418697 * 17137716527 * 84413238703660609 * 4336790831080504259 * 4169136946773000713270790657459827 * 51954390877748655744256192963206220919272895548843817842228913
2,	8,	Regular
2,	8,	Regular
2,	8,	Regular
2,	8,	Regular
2,	8,	Regular
2,	9,	True	3^3 * 7 * 19 * 73 * 83 * 739 * 13367 * 18451 * 165313 * 174907 * 3887047 * 164511353 * 8831418697 * 26309368807003 * 6376386802464073 * 13194317913029593 * 177722253954175633 * 23365041083799063007245010292408927930007906086731 * 242930150369581725249341464475421249205592384370695685937
2,	9,	True	3^3 * 7 * 19 * 73 * 83 * 739 * 13367 * 18451 * 165313 * 174907 * 3887047 * 164511353 * 8831418697 * 26309368807003 * 6376386802464073 * 13194317913029593 * 177722253954175633 * 23365041083799063007245010292408927930007906086731 * 242930150369581725249341464475421249205592384370695685937
