p,	r,	result
2,	1,	Regular
2,	1,	Regular
2,	2,	Regular
2,	2,	Regular
2,	3,	Regular
2,	3,	Regular
2,	4,	Regular
2,	4,	Regular
2,	5,	Regular
2,	5,	Regular
2,	6,	Regular
2,	6,	Regular
2,	7,	Regular
2,	7,	Regular
2,	8,	Regular
2,	8,	Regular
2,	9,	Regular
2,	9,	Regular
2,	10,	Regular
2,	10,	Regular
2,	11,	Regular
2,	11,	Regular
2,	12,	Regular
2,	12,	Regular
2,	13,	Regular
2,	13,	Regular
2,	14,	Regular
2,	14,	Regular
2,	15,	Regular
2,	15,	Regular
2,	16,	Regular
2,	16,	Regular
3,	1,	x^62 + x^61 + x^9 + 2*x + 2	2^3 * 683 * 6883 * 102673 * 4404047 * 22434744889
3,	2,	Regular
3,	2,	Regular
3,	3,	x^186 + x^185 + x^183 + 2	2^3 * 7 * 13 * 373 * 683 * 1117 * 6883 * 102673 * 541447 * 3058399 * 4404047 * 22434744889 * 88239050462461 * 26273701844015319144827917
3,	4,	Regular
3,	4,	Regular
3,	5,	True	2^3 * 11^2 * 61 * 311 * 683 * 1861 * 6883 * 102673 * 4404047 * 3586225081 * 22434744889 * 33131555630426311 * 318620421994509961 * 121462982451478217731 * 1078579799806668629607014283525941686969924751
3,	6,	Regular
3,	6,	Regular
3,	7,	True
3,	7,	True	
3,	8,	Regular
3,	8,	Regular
3,	9,	True
3,	9,	True	
3,	10,	Regular
3,	10,	Regular
5,	1,	Regular
5,	1,	Regular
5,	2,	Regular
5,	2,	Regular
5,	3,	Regular
5,	3,	Regular
5,	4,	Regular
5,	4,	Regular
5,	5,	Regular
5,	5,	Regular
5,	6,	Regular
5,	6,	Regular
5,	7,	Regular
5,	7,	Regular
7,	1,	Regular
7,	1,	Regular
7,	2,	Regular
7,	2,	Regular
7,	3,	Regular
7,	3,	Regular
7,	4,	Regular
7,	4,	Regular
7,	5,	Regular
7,	5,	Regular
11,	1,	x^62 + x^61 + 2*x^2 + 2	2^3 * 3 * 5 * 311 * 1303 * 10789 * 50159 * 2428541 * 157571957584602258799 * 3658524738455131951223
11,	2,	Regular
11,	2,	Regular
11,	3,	True
11,	3,	True	
11,	4,	Regular
11,	4,	Regular
13,	1,	x^62 + 2*x^61 + 6	2^3 * 3 * 7 * 311 * 373 * 1117 * 2729 * 145831193 * 16389023943543602257 * 8170509011431363408568150369
13,	2,	Regular
13,	2,	Regular
13,	3,	True
13,	3,	True	
13,	4,	Regular
13,	4,	Regular
17,	1,	x^62 + x^61 + x + 6	2^5 * 3^2 * 373 * 4093 * 6123493 * 36845423 * 347340647626008901939025023 * 563056114507738352440487747
17,	2,	Regular
17,	2,	Regular
17,	3,	True
17,	3,	True	
17,	4,	Regular
17,	4,	Regular
19,	1,	Regular
19,	1,	Regular
19,	2,	Regular
19,	2,	Regular
19,	3,	Regular
19,	3,	Regular
23,	1,	x^62 + x^61 + 11*x + 5	2^4 * 3 * 11 * 8086847 * 40888990028603 * 2313675671730419 * 3641413251511310179 * 1817748739889319695512796411
23,	2,	Regular
23,	2,	Regular
23,	3,	True
23,	3,	True	
29,	1,	x^62 + x^61 + 12*x + 27	2^3 * 3 * 5 * 7 * 36767 * 3697433 * 192554086217 * 15294622838198819 * 137145934026139645822087 * 101102903473178736400782421
29,	2,	Regular
29,	2,	Regular
29,	3,	True
29,	3,	True	
31,	1,	Regular
31,	1,	Regular
31,	2,	Regular
31,	2,	Regular
31,	3,	Regular
31,	3,	Regular
37,	1,	x^62 + x^61 + x + 20	2^3 * 3^2 * 19 * 683 * 1117 * 1861 * 6449 * 85313 * 781148144317 * 177422462708803667 * 385894816539270919 * 296129722925570310535267183093
37,	2,	Regular
37,	2,	Regular
37,	3,	True
37,	3,	True	
41,	1,	Regular
41,	1,	Regular
41,	2,	Regular
41,	2,	Regular
41,	3,	Regular
41,	3,	Regular
43,	1,	x^62 + x^61 + x + 33	2^3 * 3 * 7 * 11 * 7069 * 37712369 * 3765685293589 * 6462696873928037 * 405332696552137572299 * 38764218807661859561560979794277966513
43,	2,	Regular
43,	2,	Regular
43,	3,	True
43,	3,	True	
47,	1,	Regular
47,	1,	Regular
47,	2,	Regular
47,	2,	Regular
53,	1,	x^62 + x^61 + 4*x + 33	2^3 * 3^3 * 13 * 5953 * 94619539387 * 9320548822563636849621141317228655367 * 5451909197716512648567801549394409749475252856973123
53,	2,	Regular
