p,	r,	result
2,	1,	x^30 + x^29 + x^22 + x^7 + 1	3^2 * 7 * 11 * 31 * 151 * 331
2,	2,	x^60 + x^59 + x^11 + x^7 + 1	3^2 * 5^2 * 7 * 11 * 13 * 31 * 41 * 61 * 151 * 331 * 1321
2,	3,	x^90 + x^89 + x^70 + x^5 + 1	3^3 * 7 * 11 * 19 * 31 * 73 * 151 * 331 * 631 * 23311 * 18837001
2,	4,	Regular
2,	5,	x^150 + x^149 + x^70 + x^2 + 1	3^2 * 7 * 11 * 31 * 151 * 251 * 331 * 601 * 1801 * 4051 * 100801 * 10567201 * 1133836730401
2,	6,	x^180 + x^179 + x^147 + x^11 + 1	3^3 * 5^2 * 7 * 11 * 13 * 19 * 31 * 37 * 41 * 61 * 73 * 109 * 151 * 181 * 331 * 631 * 1321 * 23311 * 54001 * 18837001 * 29247661
2,	7,	True	3^2 * 7^2 * 11 * 31 * 43 * 71 * 127 * 151 * 211 * 281 * 331 * 337 * 5419 * 29191 * 86171 * 106681 * 122921 * 152041 * 664441 * 1564921
2,	8,	Regular
2,	9,	True	
2,	10,	True	
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	True	
3,	1,	x^30 + x^29 + x^11 + 2	2^3 * 7 * 11^2 * 13 * 31 * 61 * 271 * 4561
3,	2,	x^60 + x^59 + x^55 + 2	2^4 * 5^2 * 7 * 11^2 * 13 * 31 * 61 * 73 * 271 * 1181 * 4561 * 47763361
3,	3,	x^90 + x^89 + x^29 + 2	2^3 * 7 * 11^2 * 13 * 19 * 31 * 37 * 61 * 181 * 271 * 757 * 1621 * 4561 * 387631 * 755551 * 927001
3,	4,	Regular
3,	5,	True	2^3 * 7 * 11^2 * 13 * 31 * 61 * 151 * 271 * 601 * 2551 * 4561 * 8951 * 9601 * 26251 * 119101 * 391151 * 1530601 * 22996651 * 2098303812601
3,	6,	True	
3,	7,	True	
3,	8,	Regular
3,	9,	True	
5,	1,	x^30 + x^29 + 2*x^14 + 2	2^3 * 3^2 * 7 * 11 * 31 * 61 * 71 * 181 * 521 * 1741 * 7621
5,	2,	Regular
5,	3,	True	2^3 * 3^3 * 7 * 11 * 19 * 31 * 61 * 71 * 181 * 521 * 829 * 1171 * 1741 * 5167 * 7621 * 169831 * 297315901 * 60081451169922001
5,	4,	Regular
5,	5,	True	
5,	6,	Regular
7,	1,	x^30 + x^29 + 3*x^14 + 3	2^4 * 3^2 * 11 * 19 * 31 * 43 * 191 * 2801 * 159871 * 6568801
7,	2,	x^60 + x^59 + 6*x^13 + 5	2^5 * 3^2 * 5^3 * 11 * 13 * 19 * 31 * 43 * 61 * 181 * 191 * 281 * 2801 * 4021 * 159871 * 6568801 * 555915824341
7,	3,	True	
7,	4,	Regular
7,	5,	True	
11,	1,	x^30 + x^29 + 5*x + 8	2^3 * 3^2 * 5^2 * 7 * 19 * 31 * 37 * 3221 * 13421 * 7537711 * 195019441
11,	2,	Regular
11,	3,	True	
11,	4,	Regular
13,	1,	x^30 + x^29 + 12*x^2 + 6	2^3 * 3^2 * 7 * 11 * 31 * 61 * 157 * 2411 * 4651 * 30941 * 161971 * 28325071
13,	2,	True	2^4 * 3^2 * 5^2 * 7 * 11 * 17 * 31 * 61 * 157 * 421 * 601 * 641 * 2411 * 4651 * 28393 * 30941 * 161971 * 28325071 * 460655521 * 1453046401
13,	3,	True	
13,	4,	Regular
17,	1,	x^30 + x^29 + 3*x^2 + 3	2^5 * 3^3 * 7 * 11 * 13 * 31 * 71 * 101 * 307 * 88741 * 238212511 * 6566760001
17,	2,	True	
17,	3,	True	
19,	1,	x^30 + x^29 + 3*x + 13	2^3 * 3^3 * 5^2 * 7^3 * 11 * 31 * 61 * 127 * 151 * 211 * 271 * 911 * 2251 * 1081291 * 2460181
19,	2,	Regular
19,	3,	True	
23,	1,	x^30 + x^29 + x + 11	2^4 * 3^2 * 7 * 11 * 13^2 * 31 * 41 * 79 * 151 * 211 * 292561 * 541119751 * 74912328481
23,	2,	True	
23,	3,	True	
29,	1,	x^30 + x^29 + 8	2^3 * 3^2 * 5^2 * 7 * 11 * 13 * 31 * 67 * 181 * 271 * 401 * 22111 * 120691 * 732541 * 517475046481
29,	2,	Regular
29,	3,	True	
31,	1,	Regular
31,	2,	Regular
31,	3,	Regular
37,	1,	x^30 + x^29 + 3*x + 2	2^3 * 3^3 * 7 * 11 * 19 * 31 * 41 * 43 * 67 * 601 * 2671 * 4021 * 4271 * 318211 * 1824841 * 6002229721
37,	2,	True	
41,	1,	x^30 + x^29 + 10*x + 6	2^4 * 3^2 * 5^2 * 7 * 11 * 31 * 61 * 547 * 1723 * 4111 * 22381 * 579281 * 11228251 * 8179560752161
41,	2,	Regular
43,	1,	x^30 + x^29 + x + 5	2^3 * 3^2 * 7 * 11 * 13 * 31 * 139 * 631 * 6481 * 3341101 * 3500201 * 59528191 * 11416525335601
43,	2,	True	
47,	1,	x^30 + x^29 + 2*x + 23	2^5 * 3^2 * 7 * 11 * 23 * 31 * 37 * 61 * 103 * 14621 * 50551 * 4778021 * 461017351 * 24317675453761
47,	2,	True	
53,	1,	x^30 + x^29 + 2*x + 41	2^3 * 3^4 * 7 * 11 * 13 * 31 * 131 * 409 * 919 * 2011 * 3851 * 5581 * 5791 * 353351281 * 61085389725361
53,	2,	True	
59,	1,	x^30 + x^29 + 2*x + 11	2^3 * 3^2 * 5^2 * 7 * 11 * 29 * 31 * 41 * 151 * 163 * 181 * 1531 * 2851 * 3541 * 193891 * 270121 * 2383081 * 3041286301
59,	2,	Regular
61,	1,	Regular
61,	2,	Regular
67,	1,	x^30 + x^29 + 7	2^3 * 3^2 * 7^2 * 11 * 17 * 31 * 181 * 421 * 761 * 1021 * 1171 * 4423 * 26881 * 47161 * 296731 * 7673431 * 334569511
67,	2,	True	
71,	1,	x^30 + x^29 + 35	2^4 * 3^3 * 5^2 * 7 * 11 * 31 * 211 * 571 * 991 * 1657 * 2221 * 5113 * 25058741 * 20723940961 * 1146842069011
71,	2,	Regular
73,	1,	x^30 + x^29 + 4*x + 60	2^4 * 3^3 * 7 * 11 * 31 * 37 * 61 * 131 * 751 * 1801 * 19441 * 1740721 * 15149551 * 28792661 * 13039585876021
73,	2,	True	
79,	1,	x^30 + x^29 + 28	2^5 * 3^2 * 5^2 * 7^2 * 11 * 13 * 31 * 43 * 631 * 641 * 1091 * 6163 * 201151 * 11801401 * 39449441 * 49558374270751
79,	2,	Regular
83,	1,	x^30 + x^29 + x + 46	2^3 * 3^2 * 7 * 11 * 19 * 31 * 41 * 61 * 211 * 331 * 367 * 401 * 2269 * 10631 * 1036831 * 48037081 * 70917841 * 522301141
83,	2,	True	
89,	1,	x^30 + x^29 + 13	2^4 * 3^3 * 5^2 * 7 * 11 * 31 * 131 * 373 * 691 * 701 * 8011 * 33151 * 400291 * 120081279391 * 3892362992828641
89,	2,	Regular
97,	1,	x^30 + x^29 + 14	2^6 * 3^2 * 7^2 * 11 * 31 * 61 * 67 * 139 * 3169 * 3931 * 22291 * 244471 * 262321 * 31728277831 * 129806937738901
97,	2,	True	
101,	1,	x^30 + x^29 + 8	2^3 * 3^2 * 5^3 * 7 * 11 * 13 * 17 * 31 * 37 * 491 * 1381 * 3511 * 7321 * 10303 * 9367291 * 417108271 * 10935769976300401
101,	2,	Regular
103,	1,	x^30 + x^29 + 2*x + 62	2^4 * 3^2 * 7 * 11 * 13 * 17 * 19 * 31 * 61 * 79 * 571 * 1171 * 1201 * 1231 * 3571 * 36871 * 95191 * 493531 * 10332211 * 5523655771
103,	2,	True	
107,	1,	x^30 + x^29 + 22	2^3 * 3^4 * 7 * 11 * 13 * 19 * 31 * 41 * 53 * 61 * 101 * 127 * 199 * 211 * 421 * 2851 * 590251 * 627091 * 481662991 * 1304214048451
107,	2,	True	
109,	1,	x^30 + x^29 + x + 42	2^3 * 3^4 * 5^2 * 7 * 11 * 31 * 61 * 191 * 193 * 571 * 5851 * 24061 * 27974981 * 3374267262211 * 20108414800290961
109,	2,	Regular
113,	1,	x^30 + 2*x^29 + 79	2^5 * 3^2 * 7 * 11 * 13 * 19 * 31 * 41 * 61 * 151 * 251 * 691 * 991 * 4219 * 59581 * 64621 * 1230063939301 * 177613800584551
113,	2,	True	
127,	1,	True	2^8 * 3^3 * 7 * 11 * 13 * 31 * 41 * 61 * 1231 * 5419 * 10321 * 572311 * 12354871 * 262209281 * 3494801371 * 5434487431
127,	2,	True	
131,	1,	x^30 + x^29 + 76	2^3 * 3^2 * 5^2 * 7 * 11 * 13 * 31 * 61 * 811 * 2971 * 6451 * 7561 * 17293 * 973001 * 292268861 * 3890370091 * 430381781941
