p,	e,	result
2,	1,	x^66 + x^65 + x^7 + x^2 + 1	3^2 * 7 * 23 * 67 * 89 * 683 * 20857 * 599479
2,	2,	Regular
2,	3,	x^198 + x^197 + x^37 + x^2 + 1	3^3 * 7 * 19 * 23 * 67 * 73 * 89 * 199 * 683 * 5347 * 20857 * 153649 * 599479 * 33057806959 * 242099935645987
2,	4,	Regular
2,	5,	x^330 + x^329 + x^109 + x + 1	3^2 * 7 * 11^2 * 23 * 31 * 67 * 89 * 151 * 331 * 683 * 881 * 2971 * 3191 * 20857 * 201961 * 599479 * 48912491 * 415365721 * 2252127523412251 * 2048568835297380486760231
2,	6,	Regular
2,	7,	True	3^2 * 7^2 * 23 * 43 * 67 * 89 * 127 * 337 * 463 * 617 * 683 * 5419 * 14323 * 20857 * 78233 * 599479 * 35532364099 * 581283643249112959 * 70180796165277040349245703851057 * 4982397651178256151338302204762057
2,	8,	Regular
2,	9,	True	3^4 * 7 * 19 * 23 * 67 * 73 * 89 * 199 * 683 * 5347 * 20857 * 23761 * 87211 * 153649 * 262657 * 599479 * 694387 * 8950393 * 33057806959 * 6215074747201 * 242099935645987 * 14973866897175265228063698945547 * 170886618823141738081830950807292771648313599433
2,	10,	Regular
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	Regular
2,	15,	True	
2,	16,	Regular
2,	17,	True	
3,	1,	Regular
3,	2,	Regular
3,	3,	Regular
3,	4,	Regular
3,	5,	Regular
3,	6,	Regular
3,	7,	Regular
3,	8,	Regular
3,	9,	Regular
3,	10,	Regular
5,	1,	x^66 + x^65 + 4*x^11 + 3	2^3 * 3^2 * 7 * 23 * 31 * 67 * 199 * 5281 * 595123 * 12207031 * 190771747 * 386478495679
5,	2,	Regular
5,	3,	x^198 + x^197 + 4*x^23 + 3	2^3 * 3^3 * 7 * 19 * 23 * 31 * 67 * 199 * 829 * 5167 * 5281 * 143551 * 595123 * 1731511 * 12207031 * 190771747 * 386478495679 * 22542470482159 * 153560376376050799 * 874300184250616439267985523227691404297001
5,	4,	Regular
5,	5,	True	
5,	6,	Regular
5,	7,	True	
7,	1,	x^66 + x^65 + 3*x^4 + 5	2^4 * 3^2 * 19 * 23 * 43 * 67 * 1123 * 3631 * 293459 * 1532917 * 10746341 * 12323587 * 1357105535093947
7,	2,	Regular
7,	3,	True	2^4 * 3^3 * 19 * 23 * 37 * 43 * 67 * 199 * 1063 * 1123 * 3631 * 117307 * 173647 * 293459 * 1532917 * 10746341 * 12323587 * 8095532743 * 244188888967 * 1357105535093947 * 257736175658549346017402101729 * 14658652062814508164798530246267135510037033
7,	4,	Regular
7,	5,	True	
7,	6,	Regular
11,	1,	x^66 + x^65 + 2	2^3 * 3^2 * 5 * 7 * 19 * 23 * 37 * 67 * 89 * 199 * 661 * 1453 * 9439 * 15797 * 58367 * 991651 * 1806113 * 1169382127 * 637265428480297
11,	2,	Regular
11,	3,	True	
11,	4,	Regular
11,	5,	True	
13,	1,	x^66 + x^65 + 5*x^6 + 2	2^3 * 3^2 * 7 * 23 * 61 * 67 * 157 * 331 * 419 * 859 * 1123 * 6997 * 18041 * 122167 * 960961 * 128011456717 * 17551032119981679046729
13,	2,	Regular
13,	3,	True	
13,	4,	Regular
17,	1,	x^66 + x^65 + 14*x^4 + 5	2^5 * 3^3 * 7 * 13 * 23 * 67 * 199 * 307 * 947 * 991 * 3697 * 48973 * 976669 * 11372329 * 39172453 * 87415373 * 2141993519227 * 15814892288119
17,	2,	Regular
17,	3,	True	
17,	4,	Regular
19,	1,	x^66 + x^65 + x^3 + 2	2^3 * 3^3 * 5 * 7^3 * 23 * 67 * 127 * 859 * 2113 * 104281 * 489061 * 519553 * 34451077 * 62060021 * 181258778383 * 253239693257 * 7302593769703
19,	2,	Regular
19,	3,	True	
19,	4,	Regular
23,	1,	x^66 + x^65 + 5*x^3 + 11	2^4 * 3^2 * 7 * 11^2 * 13^2 * 67 * 79 * 331 * 6073 * 27919 * 23130823 * 3937230404603 * 37942113104611 * 39700406579747 * 890785539136914450283
23,	2,	Regular
23,	3,	True	
29,	1,	x^66 + x^65 + x + 8	2^3 * 3^2 * 5 * 7 * 13 * 23 * 67 * 271 * 661 * 727 * 632743 * 5618383 * 72384467 * 163097089 * 3691951429 * 17607980281 * 18944890940537 * 9705731115425038321
29,	2,	Regular
29,	3,	True	
31,	1,	Regular
31,	2,	Regular
31,	3,	Regular
37,	1,	Regular
37,	2,	Regular
37,	3,	Regular
41,	1,	x^66 + 2*x^65 + 13	2^4 * 3^2 * 5 * 7 * 23 * 67 * 547 * 1723 * 2311 * 132947 * 303931 * 3889843 * 4499415031 * 5669871130991 * 1341815197245931 * 2052904552210513 * 148679981536959025297
41,	2,	Regular
41,	3,	True	
43,	1,	x^66 + x^65 + 29*x + 34	2^3 * 3^2 * 7 * 11^2 * 13 * 23 * 67 * 139 * 397 * 631 * 859 * 1321 * 77419 * 188431 * 359063 * 3470039 * 6038099 * 3664405207 * 36405108913842101599 * 911285680033119157086050677
43,	2,	Regular
43,	3,	True	
47,	1,	x^66 + x^65 + 4*x + 20	2^5 * 3^2 * 7 * 23 * 37 * 61 * 67 * 103 * 331 * 134707 * 389357 * 132277876039 * 398959160491 * 8536274287173599105813570362819 * 40415365692967152312532562522827
47,	2,	Regular
47,	3,	True	
53,	1,	x^66 + x^65 + 2*x + 8	2^3 * 3^4 * 7 * 13 * 23 * 67 * 409 * 919 * 1321 * 1354343 * 82244999 * 269718965012113 * 84223538018565793 * 178250690949465223 * 31162505281099966486035280334242009
53,	2,	Regular
53,	3,	True	
59,	1,	x^66 + x^65 + 7*x + 43	2^3 * 3^2 * 5 * 7 * 23 * 29 * 67 * 163 * 199 * 419 * 3541 * 32693 * 116293 * 132194239 * 134891131 * 805243954219 * 9896938795944758488943629 * 256813783646278831684483751885393401
59,	2,	Regular
61,	1,	x^66 + x^65 + 3*x + 43	2^3 * 3^2 * 5 * 7 * 13 * 23 * 31 * 67 * 97 * 199 * 331 * 523 * 859 * 991 * 2179 * 25147 * 35839 * 151009 * 318781 * 737353 * 26583481 * 42308091563 * 565834574449 * 4242586390571 * 8102407953486332549317
61,	2,	Regular
67,	1,	Regular
67,	2,	Regular
71,	1,	x^66 + x^65 + 6*x + 53	2^4 * 3^3 * 5 * 7 * 23 * 67 * 419 * 1657 * 3169 * 5113 * 5479 * 2472559 * 3596143 * 839080734031 * 1398279582151 * 75159289066365307 * 143554218709131407 * 942932742398075938134783103
71,	2,	Regular
73,	1,	x^66 + x^65 + 42	2^4 * 3^3 * 7 * 23 * 37 * 67 * 89 * 751 * 1801 * 3323 * 4159 * 461561 * 123518407 * 3972306493 * 63587701057 * 46423382815261 * 101527901949673 * 47635391067166673 * 1028089936862355260389
73,	2,	Regular
